LocationID,Count,ProgID,SurveyDescription,Easting,Northing,Location,Borough,Functional cycling area,Latitude,Longitude,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count
CSHCY047,2399,CSHCY,Cycle Superhighway cycle surveys,535659,176810,Queen's Road (east),Lewisham,Inner,51.47399592,-0.048093719,0,0,1,0,0,0,0,4,0,0,12,16,3,5,12,96,0,85,0,0,5,0,65,0,0,13,0,0,0,0,2,2,1,0,0,0,1,1,0,0,5,0,1,0,0,0,1,0,0,0
CSHCY048,2107,CSHCY,Cycle Superhighway cycle surveys,534926,176740,Queens Road,Southwark,Inner,51.47354199,-0.058668057,0,2,5,0,0,0,4,4,0,0,15,10,2,7,12,135,0,88,1,1,2,0,65,0,0,12,3,1,0,1,0,4,1,0,0,0,0,7,0,0,3,0,1,0,0,1,0,0,0,0
CSHCY049,3661,CSHCY,Cycle Superhighway cycle surveys,534102,176695,Peckham High Street,Southwark,Inner,51.47333333,-0.070542175,0,3,0,0,0,0,1,1,0,0,17,12,2,5,12,183,0,70,1,1,2,0,57,0,0,9,3,1,0,0,0,3,1,0,0,0,0,13,0,0,1,0,2,0,0,1,0,0,0,0
CSHCY050,4733,CSHCY,Cycle Superhighway cycle surveys,532778,176716,Camberwell Church Street,Southwark,Inner,51.47383403,-0.089586272,0,1,5,0,0,1,4,4,0,0,8,12,2,7,14,203,0,82,0,2,3,0,58,0,0,19,2,0,0,4,0,1,1,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0
CSHCY051,4961,CSHCY,Cycle Superhighway cycle surveys,531865,177149,Camberwell New Road,Southwark,Inner,51.47793854,-0.102562864,1,0,3,0,0,1,6,8,0,0,30,25,6,11,16,232,1,130,0,2,4,0,85,0,0,30,3,0,0,5,0,3,2,1,2,1,0,3,0,0,3,0,1,1,0,0,0,0,0,0
CSHCY052,5503,CSHCY,Cycle Superhighway cycle surveys,530802,177835,Harleyford Road (Kennington Oval),Lambeth,Inner,51.48434994,-0.117607097,0,0,6,0,0,0,4,20,0,0,37,32,11,10,16,293,6,157,0,1,17,2,84,1,0,27,2,0,0,2,0,0,1,1,2,1,3,3,0,0,5,0,6,2,0,0,0,1,0,0
CSHCY053,3540,CSHCY,Cycle Superhighway cycle surveys,530462,177929,South Lambeth Road (at Vauxhall),Lambeth,Inner,51.48527314,-0.122466182,0,0,5,0,0,0,2,21,0,0,40,30,13,10,17,273,9,165,0,1,18,2,88,1,0,25,3,0,0,3,0,1,1,1,2,0,6,2,0,0,4,0,7,2,0,0,0,1,0,0
CSHCY055,5159,CSHCY,Cycle Superhighway cycle surveys,530113,178195,Vauxhall Bridge,Westminster,Inner,51.48774392,-0.127391686,0,0,4,0,0,0,1,12,0,0,35,29,14,9,16,283,8,160,0,1,21,2,86,1,0,24,4,0,0,3,0,3,1,2,0,0,6,2,0,0,3,0,6,3,0,0,0,0,0,0
CSHCY056,996,CSHCY,Cycle Superhighway cycle surveys,529396,178437,Belgrave Road,Westminster,Inner,51.49008307,-0.137624039,5,0,15,0,1,1,0,11,0,0,77,62,12,20,54,285,11,205,3,3,8,3,116,0,0,35,4,0,1,5,1,8,3,1,1,0,5,0,0,0,1,0,6,2,0,0,0,0,0,0
CSHCY057,412,CSHCY,Cycle Superhighway cycle surveys,536436,177129,Fordham Park,Lewisham,Inner,51.47667585,-0.036789981,0,0,2,0,0,0,0,4,0,0,17,28,8,11,15,97,0,97,0,1,5,0,65,0,0,13,0,0,0,0,3,2,0,0,0,0,1,0,0,0,2,0,3,0,0,0,1,0,0,0
