LocationID,office,sustenance,transport,retail,leisure,residence
St. James's Park,0.363886727,0.381293378,0.458529256,-0.309217606,-0.157509715,-0.174931006
Stamford Hill,-0.500345522,-0.66386813,-0.442567615,-0.31044746,-0.27993152,-0.174931006
Star Lane,-0.473107963,-0.621823937,-0.452134459,-0.255458121,0.554079418,-0.174931006
Stepney Green,-0.173082613,-0.428053845,-0.091352934,-0.398926322,-0.146623955,-0.174931006
Stockwell,-0.273196401,-0.140907677,-0.160537571,0.028838077,0.05827647,-0.174931006
Stoke Newington,-0.482187149,-0.168167727,-0.178552161,0.404772466,-0.284650428,-0.174931006
Stratford,0.428948481,-0.040403856,0.178909914,0.598605798,0.160540388,-0.174931006
Stratford High Street,0.489482321,-0.181431204,0.032355761,0.457646929,0.036043237,-0.174931006
Surrey Quays,-0.455140541,-0.612975794,-0.226296508,-0.70172753,0.257485007,-0.174931006
Swiss Cottage,-0.396030355,-0.681996815,-0.362196816,-0.286797936,0.010028816,-0.174931006
Sydenham,-0.45494959,-0.757294609,-0.615131406,-0.341742334,0.053496332,-0.174931006
Temple,0.788646387,1.777634469,1.901831007,0.649830061,0.073172135,-0.174931006
Tooting Bec,-0.271703989,-0.49217229,-0.625861713,0.036984412,-0.392664314,0.296711393
Tooting Broadway,0.273920361,-0.337061309,-0.474860809,0.496457014,-0.207034208,-0.174931006
Tottenham Court Road,0.862302726,3.513709763,1.599188543,1.630334525,0.330595607,0.250218793
Tower Gateway,0.82806203,2.019860526,0.758157144,0.254012062,0.461420638,-0.174931006
Tower Hill,1.116164926,2.239139624,1.084241384,0.458906409,0.611560599,-0.174931006
Tufnell Park,-0.10665473,-0.397027867,-0.249312239,-0.156578403,-0.170411635,0.296711393
Turnpike Lane,-0.445870404,-0.404760197,-0.311502038,0.401032737,0.397660555,-0.174931006
Upper Holloway,-0.417117462,-0.384868757,-0.15750186,0.019735844,-0.354248501,-0.174931006
Upton Park,-0.053346857,-0.725000692,-0.514396063,0.077012811,-0.370292467,-0.174931006
Wandsworth Road,-0.071403659,0.197067145,-0.30272826,-0.209328185,0.199754263,-0.174931006
Wanstead Park,-0.40041971,-0.802962892,-0.687292661,-0.617603447,-0.41503616,-0.174931006
Wapping,-0.35971361,-0.562779159,-0.182521757,-0.502298293,0.335925604,-0.174931006
Warren Street,0.432882802,0.91758327,0.402424455,0.227269784,0.15942524,-0.174931006
Warwick Avenue,0.34393722,-0.075419124,0.117569531,0.534747564,0.026954553,0.250218793
West Brompton,-0.138778063,-0.11312851,-0.233431461,-0.084314009,-0.271851481,-0.174931006
West Ham,-0.50498059,-0.83945854,-0.605576399,-0.605423009,0.623238192,-0.174931006
West India Quay,0.586796977,0.242849212,0.333581935,0.294195652,0.303734037,-0.174931006
West Kensington,0.518520223,-0.250996356,-0.387156901,-0.106157857,-0.32199954,-0.174931006
West Silvertown,-0.320376793,-0.687548225,-0.566934311,-0.756064861,0.079564997,-0.174931006
Westbourne Park,0.067459898,0.13751687,-0.080362165,0.949778052,-0.07410405,0.250218793
Westferry,-0.065477824,-0.001930242,0.302907464,0.09611049,0.203056677,-0.174931006
Westminster,0.144372043,0.555364111,1.513115964,0.3067704,0.052597364,-0.174931006
White City,-0.271031472,-0.16607494,-0.129221931,0.653694472,-0.394900688,-0.174931006
White Hart Lane,0.263264438,-0.649526952,-0.514921815,-0.409297584,-0.455307104,-0.174931006
Whitechapel,-0.099231633,-0.018860834,-0.074707766,-0.069581352,-0.197153257,-0.174931006
Wood Green,-0.39432402,-0.500705476,-0.344582215,0.288090795,-0.16638202,-0.174931006
Wood Lane,0.151505868,0.007754892,-0.095164527,0.870641937,-0.374765216,-0.174931006
Woodgrange Park,-0.491266336,-0.783330026,-0.648537619,-0.737719751,-0.475442576,-0.174931006
