ID,LocationID,Easting,Northing,latitude,longitude,Zone,Postcode,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count
94,Canary Wharf,537558,180153,51.50357838,-0.01946684,2,E14 4QS,2,1,9,2,1,1,4,25,0,0,72,38,11,5,85,206,8,132,0,6,2,2,68,0,0,23,8,0,1,3,2,20,1,0,2,0,1,3,0,0,4,0,10,1,0,0,0,0,0,0
95,Canning Town,539454,181350,51.5138703,0.008305633,3,E16 1DQ,0,0,1,0,0,2,0,5,0,0,23,20,6,1,24,97,5,118,0,0,1,1,59,0,0,21,6,0,0,1,2,2,0,1,2,0,2,3,0,0,3,0,8,0,1,0,0,0,0,0
96,Cannon Street,532623,180888,51.51136194,-0.090250526,1,EC4N 6AP,1,1,63,2,3,3,13,4,1,0,197,136,76,58,131,356,58,228,0,9,8,4,117,0,0,27,1,0,6,8,0,35,1,0,0,0,11,2,0,0,4,0,22,0,0,0,0,0,0,0
97,Canonbury,532355,184979,51.54818824,-0.092574195,2,N1 2PG,0,0,0,0,0,0,0,3,0,0,27,28,2,7,17,244,2,143,0,0,0,0,83,0,0,17,3,0,0,3,1,7,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
98,Canons Park,518208,191246,51.60765009,-0.294391591,5,HA8 6RN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,28,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0
99,Carpenders Park,511826,193386,51.62818609,-0.385829315,7,WD19 7DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Carshalton,527737,164858,51.3684261,-0.166398326,5,SM5 2HT,0,0,0,0,0,0,1,1,0,0,10,15,0,8,18,42,0,51,0,0,0,0,50,0,0,12,2,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
101,Carshalton Beeches,527552,163625,51.35738657,-0.169496324,5,SM5 3LG,0,0,0,0,0,0,0,5,0,1,7,5,0,2,13,26,0,43,0,0,0,0,43,0,0,7,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
102,Castle Bar Park,515853,181770,51.52297312,-0.33150407,4,W7 1AY,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,25,0,55,0,0,0,0,55,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
103,Caterham,534099,155422,51.2821627,-0.078607298,6,CR3 6LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Catford,537245,173544,51.44426487,-0.026538499,3,SE6 4XT,0,0,0,0,0,0,3,5,1,0,10,5,0,5,22,49,0,63,0,0,1,0,62,0,0,16,2,0,0,0,5,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0
105,Catford Bridge,537363,173595,51.44469459,-0.024821876,3,SE6 4RE,0,0,0,0,0,0,3,6,1,0,13,7,0,5,24,49,0,62,0,0,1,0,61,0,0,18,2,0,0,0,5,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0
106,Centrale,532067,165785,51.3757673,-0.103888103,"3,4,5,6",CR0 1XT,2,0,0,0,1,0,4,7,0,0,12,26,8,9,49,82,0,106,0,1,2,0,79,0,13,11,1,0,2,2,0,8,0,1,3,0,3,1,0,0,2,0,9,0,0,0,0,0,3,0
107,Chadwell Heath,547646,187611,51.56804709,0.128901113,5,RM6 4BE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,29,0,38,0,0,1,0,38,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
108,Chafford Hundred,558922,178770,51.48555497,0.287475706,7,RM16 6QQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Chalfont and Latimer,499610,197550,51.66790656,-0.561067759,8,HP7 9PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Chalk Farm,528126,184421,51.54414884,-0.15373307,2,NW3 2BP,0,0,3,0,0,0,3,10,0,0,38,18,12,11,19,265,4,82,0,3,6,2,65,0,0,7,1,0,0,7,0,26,1,5,0,0,1,3,0,0,1,0,2,0,0,2,0,0,0,0
111,Chancery Lane,531096,181642,51.51849384,-0.111962027,1,WC1V 6DR,0,1,88,3,0,3,12,5,0,0,137,127,37,36,61,595,20,229,0,7,12,0,119,0,0,20,4,1,0,3,1,25,1,6,1,0,0,2,0,0,1,0,14,0,0,0,0,0,0,0
112,Charing Cross,530234,180492,51.50835843,-0.124802937,1,WC2N 5HS,3,3,54,1,0,0,3,1,0,0,328,136,69,40,94,414,44,230,0,6,17,4,118,4,0,26,9,2,1,12,0,106,3,0,3,0,7,0,0,0,4,0,10,0,0,1,0,0,0,0
113,Charlton,541108,178387,51.48683504,0.030941645,3,SE7 7AB,0,0,0,0,0,0,0,2,0,0,5,7,0,0,9,25,0,84,0,0,0,0,56,31,0,11,3,0,1,1,0,3,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
114,Cheam,524444,163334,51.35545989,-0.214211281,5,SM3 8RZ,0,0,0,0,0,0,0,0,1,0,14,9,1,4,3,30,0,30,0,0,2,0,30,0,0,5,1,0,0,2,1,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Chelsfield,546944,164021,51.35626476,0.10898412,6,BR6 6EU,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,6,0,33,0,0,0,0,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Chesham,496048,201650,51.70537902,-0.611429635,9,HP5 1DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Cheshunt,536652,202307,51.70287328,-0.023887415,8,EN8 9AQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Chessington North,518415,164168,51.36424295,-0.300476124,6,KT9 2RT,0,0,0,0,0,0,0,1,0,0,1,2,0,5,4,24,0,39,0,0,3,0,39,0,0,5,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Chessington South,517974,163319,51.35670403,-0.307089015,6,KT9 2DD,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,12,0,31,0,0,1,0,31,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Chigwell,543835,193045,51.617858,0.076179215,4,IG7 6NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Chingford,539173,194628,51.63325339,0.009514326,5,E4 6AL,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,29,0,38,0,0,0,0,33,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Chipstead,527689,158275,51.30927471,-0.169445868,6,CR5 3TD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Chislehurst,543205,169405,51.40559851,0.057491822,5,BR7 5NN,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,17,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Chiswick,520438,177182,51.48078106,-0.267013318,3,W4 2QE,0,0,0,0,0,0,0,0,0,0,7,5,0,3,1,44,0,27,0,1,0,0,25,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
125,Chiswick Park,520352,178692,51.49437028,-0.267736918,3,W4 5NE,0,0,3,0,0,0,0,3,0,0,19,10,2,7,7,216,3,68,0,2,3,0,66,0,0,7,1,0,0,0,1,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0,8,0,4,0
126,Chorleywood,502596,196092,51.65426508,-0.518333911,7,WD3 5ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Church Street,532041,165555,51.37370639,-0.104346828,"3,4,5,6",CR0 1RN,2,0,0,0,1,0,4,6,0,0,12,27,9,9,52,84,0,102,0,1,2,0,75,0,11,12,1,0,2,2,0,7,0,2,3,0,3,1,0,0,2,0,9,0,0,0,0,0,1,0
128,City Thameslink,531688,181150,51.5139349,-0.103618449,1,EC4M 7JH,0,1,82,4,1,3,14,3,1,0,100,83,35,31,53,400,33,202,0,6,11,2,102,0,0,17,2,1,0,4,0,11,1,5,1,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0
129,Clapham Common,529428,175291,51.46180345,-0.138314901,2,SW4 7AJ,0,0,0,0,0,0,4,13,0,0,54,34,18,24,31,225,4,68,0,2,0,0,58,0,0,25,1,0,0,1,2,4,0,2,0,0,5,0,0,1,1,0,2,0,0,0,1,0,0,0
130,Clapham High Street,529824,175709,51.4654693,-0.132464502,2,SW4 6DQ,0,1,1,0,0,0,4,15,0,0,48,41,17,28,40,277,4,80,0,2,1,0,60,0,0,33,2,0,0,1,1,6,3,1,1,0,2,0,0,1,3,0,3,0,0,0,0,0,0,0
131,Clapham Junction,527198,175520,51.46436651,-0.170315001,2,SW11 2QP,0,0,1,0,1,0,3,26,0,0,62,46,23,13,31,139,3,93,0,4,2,1,79,0,0,27,2,0,2,4,3,16,2,10,3,0,10,0,0,0,0,0,1,0,0,0,0,0,1,0
132,Clapham North,530003,175652,51.464916,-0.129910062,2,SW4 7TS,0,1,1,0,0,0,4,14,0,0,53,45,17,27,38,304,5,88,0,2,2,0,63,0,0,32,2,0,0,1,1,5,4,1,0,0,2,0,0,1,3,0,3,0,0,0,0,0,0,0
133,Clapham South,528782,174259,51.45267625,-0.147984068,"2,3",SW12 9DU,0,0,0,0,0,0,1,9,0,0,24,13,3,6,14,75,3,45,0,1,0,0,45,0,0,7,4,0,1,1,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0
134,Clapton,534748,186531,51.561569,-0.057489458,2,E5 9JP,0,0,0,0,0,0,0,1,0,0,2,4,0,1,3,204,0,96,0,0,1,0,74,0,0,8,2,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
135,Clock House,536367,169545,51.4085405,-0.040702092,4,BR3 4PR,0,0,0,0,0,0,0,3,0,0,12,10,0,6,7,34,0,56,0,0,1,0,56,0,2,5,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Cockfosters,528087,196424,51.65202424,-0.14991671,5,EN4 0DZ,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,15,4,26,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Colindale,521295,189937,51.59523011,-0.25028754,4,NW9 5HR,0,0,0,0,0,0,1,1,0,0,3,6,0,3,6,40,1,55,0,0,2,0,47,0,0,9,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
138,Colliers Wood,526831,170436,51.4187589,-0.177415098,3,SW19 2HR,0,0,0,0,0,0,1,2,0,0,23,9,0,6,2,80,1,47,0,0,3,0,43,0,0,14,2,0,2,0,0,3,0,0,1,0,1,0,0,0,2,0,4,1,1,0,0,0,1,0
139,Coombe Lane,535201,164089,51.35978921,-0.059531571,"3,4,5,6",CR0 5RF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,12,0,0,4,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
140,Coulsdon South,529869,159056,51.31580072,-0.137903089,6,CR5 3EA,0,0,0,0,0,0,0,1,0,0,6,3,1,1,4,24,0,62,0,0,0,0,62,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Coulsdon Town,530098,159802,51.32245274,-0.134347056,6,CR5 2JA,0,0,0,0,0,0,0,1,0,0,6,2,1,0,3,17,0,62,0,0,0,0,62,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Covent Garden,530242,180982,51.51276003,-0.124506894,1,WC2E 9JT,0,1,97,1,0,3,5,2,0,0,389,174,78,43,113,532,34,222,0,7,13,2,112,4,0,34,8,2,1,11,0,104,4,2,5,0,5,1,0,0,4,0,14,0,0,1,0,0,0,0
143,Crayford,551479,174424,51.44854705,0.178502718,6,DA1 3PY,0,0,0,0,0,0,1,0,0,0,2,5,0,4,11,30,0,52,0,0,2,0,32,0,0,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Crews Hill,530973,200109,51.68447444,-0.1068441,6,EN2 8AY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Cricklewood,524009,185907,51.55842232,-0.212547931,3,NW2 1HL,0,0,0,0,0,0,1,1,0,0,12,9,0,5,20,17,0,75,0,0,2,0,61,0,0,24,1,0,0,2,3,3,1,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
146,Crofton Park,536517,174739,51.45517924,-0.036546582,3,SE4 2RA,0,1,0,0,0,0,2,7,0,0,6,10,1,5,17,56,0,72,0,1,0,0,69,0,0,15,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
147,Crossharbour and London Arena,537896,179301,51.49583996,-0.014932813,2,E14 8AD,1,1,6,2,0,1,3,20,0,0,44,24,5,2,47,116,3,126,0,6,2,0,63,0,0,20,7,0,1,2,1,0,1,1,0,0,1,0,0,0,5,0,8,0,0,0,0,0,0,0
148,Crouch Hill,530586,187508,51.57132691,-0.117133284,3,N4 4AU,0,0,1,0,0,0,1,2,1,0,29,19,0,5,19,176,2,103,0,3,0,0,57,0,0,17,5,0,0,3,3,7,1,1,1,0,0,4,0,0,0,0,3,0,0,0,0,0,1,0
149,Croxley,507921,195395,51.64700456,-0.441603787,7,WD3 3DY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Crystal Palace,534120,170557,51.41817024,-0.072607232,"3,4",SE19 2AZ,0,0,0,0,0,0,0,0,1,0,1,8,2,0,3,64,0,83,0,0,1,0,69,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
151,Custom House,540679,180911,51.5096221,0.02577251,3,E16 3BX,1,0,4,0,0,1,0,8,0,0,17,18,3,3,11,63,0,90,0,0,0,0,46,0,0,14,1,0,0,0,0,1,0,1,0,0,1,1,0,0,3,0,2,1,0,0,0,0,0,0
152,Cutty Sark for Maritime Greenwich,538240,177764,51.48194445,-0.010581867,2,SE10 9SW,0,0,2,0,0,0,4,15,1,0,34,41,4,12,15,101,2,88,0,1,1,1,44,0,0,16,2,0,1,5,0,9,0,2,1,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0
153,Cyprus,543324,180863,51.50852669,0.063840756,3,E6 5PH,0,0,0,0,0,0,0,2,0,0,4,4,3,1,3,25,2,78,0,0,0,0,50,0,0,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
154,Dagenham Dock,548900,183000,51.52628744,0.145031015,5,RM9 6RA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,26,0,0,2,0,25,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Dagenham East,550284,185033,51.54418761,0.165833433,5,RM10 8AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,29,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Dagenham Heathway,549035,184665,51.54121204,0.147679721,5,RM9 5AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,36,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Dalston Junction,533580,184778,51.5460936,-0.074994204,2,E8 3DL,0,0,1,0,0,0,1,2,0,0,17,15,14,1,10,548,1,164,0,0,1,0,92,0,0,13,3,0,0,2,2,7,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0
158,Dalston Kingsland,533487,185062,51.5486677,-0.076226922,2,E8 2JS,0,0,1,0,0,0,0,2,0,0,18,15,16,2,13,545,1,153,0,0,1,0,90,0,0,14,4,0,0,2,3,7,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0
159,Debden,544275,196133,51.64549214,0.083801475,6,IG10 3TG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Denmark Hill,532697,176087,51.46820049,-0.090987869,2,SE5 8BB,0,1,6,0,0,1,3,5,0,0,3,11,3,7,13,198,0,99,0,1,2,0,65,0,0,17,1,0,0,3,1,0,2,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
161,Deptford,537165,177395,51.47889004,-0.02619632,2,SE8 3NU,0,0,3,0,0,0,3,4,0,0,24,33,10,15,15,136,0,105,0,2,6,1,61,7,0,20,2,0,0,1,3,2,0,1,0,0,0,2,0,0,3,0,7,0,0,0,1,0,0,0
162,Deptford Bridge,537466,176912,51.47447674,-0.022052429,"2,3",SE10 8BU,0,0,1,0,0,0,3,5,0,0,23,31,10,15,12,132,0,112,0,2,3,0,72,14,0,19,2,0,0,1,2,1,0,2,0,0,0,1,0,0,3,0,9,0,0,0,1,0,0,0
163,Devons Road,537603,182233,51.52225844,-0.018007754,2,E3 3QX,1,0,1,0,0,0,1,2,0,0,1,13,0,1,16,96,2,149,0,1,1,0,75,0,0,23,1,0,0,3,1,1,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
164,Dollis Hill,522207,185132,51.5518502,-0.238797758,3,NW10 5NB,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,41,2,66,0,0,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
165,Drayton Green,516002,180998,51.51600414,-0.329611253,4,W13 0JX,0,0,0,0,0,0,3,8,0,0,17,11,1,5,19,111,0,59,0,2,2,0,59,0,0,12,11,0,0,4,3,2,1,4,1,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0
166,Drayton Park,531426,185499,51.55307814,-0.105770199,2,N5 1NT,0,0,0,0,0,0,2,5,0,0,38,51,3,13,26,274,5,103,0,0,1,0,59,0,0,34,5,0,1,2,1,5,3,6,1,0,2,4,0,0,1,0,5,0,0,0,0,0,0,0
167,Dundonald Road,524741,170233,51.41739781,-0.20752711,"3,4,5,6",SW19 3QJ,0,0,1,0,0,0,2,2,0,0,8,21,1,6,12,106,0,53,0,2,0,0,53,0,3,10,0,0,0,4,0,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
168,Ealing Broadway,517920,180915,51.51486148,-0.302010376,3,W5 2NU,0,0,1,0,0,0,1,10,0,0,60,27,3,15,13,139,0,69,0,0,1,0,60,0,0,10,5,0,2,5,0,7,1,0,2,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0
169,Ealing Common,518963,180426,51.51024819,-0.287151413,3,W5 3LD,0,0,0,0,0,0,4,4,0,0,10,4,0,8,7,87,0,42,0,0,1,0,40,0,0,9,3,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
170,Earls Court,525457,178480,51.49135636,-0.194313807,"1,2",SW5 9QA,0,0,5,1,0,0,2,31,0,0,89,31,6,8,23,277,6,68,0,0,3,0,58,0,0,22,4,0,0,4,3,6,5,1,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0
171,Earlsfield,526081,173030,51.4422385,-0.187272687,3,SW18 4SW,0,0,0,0,0,0,1,13,0,0,14,15,2,7,18,84,0,39,0,2,1,0,39,0,0,8,0,0,0,4,1,2,1,3,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0
172,East Acton,521656,181159,51.51626301,-0.248112221,2,W12 0BP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,43,0,51,0,0,0,0,49,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
173,East Croydon,532904,165801,51.37571595,-0.091863496,5,CR0 1LF,2,0,0,0,0,0,4,9,0,0,16,30,8,9,54,87,0,112,0,1,1,0,85,0,10,16,2,0,1,2,0,7,1,1,2,0,2,0,0,0,2,0,7,0,0,0,0,0,1,0
174,East Dulwich,533449,175375,51.46162545,-0.080436571,2,SE22 8EF,0,0,0,0,0,0,0,1,0,0,0,6,0,2,0,156,0,81,0,0,0,0,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
175,East Finchley,527242,189204,51.58733228,-0.164743884,3,N2 0NW,0,1,0,0,0,0,0,0,0,0,9,2,0,2,4,25,2,52,0,1,0,0,39,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176,East Ham,542373,184255,51.53924625,0.051516293,"3,4",E6 2JA,0,0,0,0,1,0,2,5,0,0,21,14,0,2,33,105,3,57,0,0,0,0,52,0,0,42,1,0,0,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,East India,538729,180753,51.50868401,-0.002370332,"2,3",E14 9PS,0,0,1,0,0,2,1,0,0,0,37,22,6,3,31,114,5,125,0,1,1,1,63,0,0,21,3,0,0,2,2,2,0,1,0,0,0,1,0,0,2,0,10,0,0,0,0,0,0,0
178,East Putney,524387,174840,51.45887944,-0.210998232,"2,3",SW15 6SN,0,0,0,0,0,0,0,4,0,0,10,8,0,1,1,121,1,63,0,0,2,2,57,0,0,10,0,0,0,0,0,1,0,0,1,0,1,1,0,0,8,0,2,0,0,0,0,0,0,0
179,Eastcote,511191,187627,51.57655118,-0.39682329,5,HA5 1QZ,0,0,0,0,0,0,0,0,0,0,4,0,2,1,4,9,0,32,0,0,5,0,32,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Eden Park,537396,167598,51.39079606,-0.026669716,5,BR3 3HQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,33,0,0,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
181,Edgware,519527,192009,51.61422917,-0.275093662,5,HA8 7AW,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,15,0,63,0,0,1,0,56,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182,Edgware Road (Bakerloo),527026,181778,51.52064508,-0.17053955,1,W2 1DY,1,0,8,4,0,0,4,56,1,0,109,74,9,15,55,259,12,147,0,4,45,0,87,0,0,40,6,1,1,10,4,17,8,1,1,0,1,2,0,0,2,0,6,0,0,0,1,0,0,0
183,Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.51999777,-0.167668253,1,NW1 5DH,1,0,9,4,0,0,4,60,1,0,130,79,10,16,59,274,12,153,0,3,49,0,87,0,0,39,7,1,1,10,4,42,8,5,1,0,0,2,0,0,3,0,9,0,0,0,1,0,0,0
184,Edmonton Green,534273,193590,51.6251156,-0.061639019,4,N9 9DX,0,0,0,0,0,0,0,4,0,0,13,3,0,4,4,39,0,76,1,0,0,0,72,0,0,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Elephant and Castle,531940,179144,51.49584922,-0.100738714,"1,2",SE1 6LW,2,0,4,2,0,0,2,10,0,0,68,56,5,29,48,393,9,190,0,1,9,0,103,0,0,46,10,0,0,3,4,10,2,1,2,5,1,9,0,0,6,0,8,0,0,0,0,0,0,0
186,Elm Park,552446,185647,51.54912491,0.197252684,6,RM12 4RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,29,0,0,0,0,29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Elmers End,535788,168389,51.39829103,-0.049463832,4,BR3 4EJ,0,0,0,0,0,0,0,3,0,0,3,5,0,2,4,11,0,40,0,0,1,0,40,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
188,Elmstead Woods,542247,170656,51.41708071,0.044229343,4,BR7 5EW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Elstree and Borehamwood,519098,196299,51.65287512,-0.279828615,6,WD6 3LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Eltham,542690,174962,51.45566231,0.052329308,4,SE9 6UB,0,0,0,0,0,0,0,4,1,0,7,10,1,6,25,53,0,57,0,0,1,0,57,0,0,12,1,0,0,1,0,4,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
