ID,LocationID,Easting,Northing,latitude,longitude,Zone,Postcode,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count,geometry,population_density
164,Dollis Hill,522207,185132,51.5518502,-0.238797758,3,NW10 5NB,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,41,2,66,0,0,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POINT (522207 185132),91.50923575530996
168,Ealing Broadway,517920,180915,51.51486148,-0.302010376,3,W5 2NU,0,0,1,0,0,0,1,10,0,0,60,27,3,15,13,139,0,69,0,0,1,0,60,0,0,10,5,0,2,5,0,7,1,0,2,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,POINT (517920 180915),63.83631893952454
169,Ealing Common,518963,180426,51.51024819,-0.287151413,3,W5 3LD,0,0,0,0,0,0,4,4,0,0,10,4,0,8,7,87,0,42,0,0,1,0,40,0,0,9,3,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,POINT (518963 180426),60.68871897783137
175,East Finchley,527242,189204,51.58733228,-0.164743884,3,N2 0NW,0,1,0,0,0,0,0,0,0,0,9,2,0,2,4,25,2,52,0,1,0,0,39,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,POINT (527242 189204),54.33688999815229
179,Eastcote,511191,187627,51.57655118,-0.39682329,5,HA5 1QZ,0,0,0,0,0,0,0,0,0,0,4,0,2,1,4,9,0,32,0,0,5,0,32,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (511191 187627),49.642423942537846
181,Edgware,519527,192009,51.61422917,-0.275093662,5,HA8 7AW,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,15,0,63,0,0,1,0,56,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POINT (519527 192009),65.54073163095214
184,Edmonton Green,534273,193590,51.6251156,-0.061639019,4,N9 9DX,0,0,0,0,0,0,0,4,0,0,13,3,0,4,4,39,0,76,1,0,0,0,72,0,0,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (534273 193590),104.80184655353867
186,Elm Park,552446,185647,51.54912491,0.197252684,6,RM12 4RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,29,0,0,0,0,29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (552446 185647),50.38930210997805
193,Emerson Park,553971,187918,51.56911527,0.220222937,6,RM11 2JR,0,0,0,0,0,0,0,0,0,0,4,1,0,5,2,15,1,34,0,0,0,0,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (553971 187918),39.37314306190875
196,Enfield Town,532970,196544,51.65196995,-0.079329922,5,EN1 1YB,0,0,0,0,1,0,1,6,0,0,15,15,0,8,8,41,0,70,1,1,3,0,68,0,0,0,8,1,1,2,0,10,1,1,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,POINT (532970 196544),52.971973073850364
